Cluster,Population,MeanRMSD,currentEnergy min,currentEnergy 5-percentile,currentEnergy 25-percentile,currentEnergy mean,currentEnergy 75-percentile,currentEnergy 95-percentile,currentEnergy max,currentEnergy standard deviation,bindingEnergy min,bindingEnergy 5-percentile,bindingEnergy 25-percentile,bindingEnergy mean,bindingEnergy 75-percentile,bindingEnergy 95-percentile,bindingEnergy max,bindingEnergy standard deviation,ligandSASA min,ligandSASA 5-percentile,ligandSASA 25-percentile,ligandSASA mean,ligandSASA 75-percentile,ligandSASA 95-percentile,ligandSASA max,ligandSASA standard deviation,ligandRMSD min,ligandRMSD 5-percentile,ligandRMSD 25-percentile,ligandRMSD mean,ligandRMSD 75-percentile,ligandRMSD 95-percentile,ligandRMSD max,ligandRMSD standard deviation,L1_C8-H38_OG min,L1_C8-H38_OG 5-percentile,L1_C8-H38_OG 25-percentile,L1_C8-H38_OG mean,L1_C8-H38_OG 75-percentile,L1_C8-H38_OG 95-percentile,L1_C8-H38_OG max,L1_C8-H38_OG standard deviation,H38_HG-H175_ND1 min,H38_HG-H175_ND1 5-percentile,H38_HG-H175_ND1 25-percentile,H38_HG-H175_ND1 mean,H38_HG-H175_ND1 75-percentile,H38_HG-H175_ND1 95-percentile,H38_HG-H175_ND1 max,H38_HG-H175_ND1 standard deviation,H175_HE2-H40_OE2 min,H175_HE2-H40_OE2 5-percentile,H175_HE2-H40_OE2 25-percentile,H175_HE2-H40_OE2 mean,H175_HE2-H40_OE2 75-percentile,H175_HE2-H40_OE2 95-percentile,H175_HE2-H40_OE2 max,H175_HE2-H40_OE2 standard deviation,H175_HE2-H40_OE1 min,H175_HE2-H40_OE1 5-percentile,H175_HE2-H40_OE1 25-percentile,H175_HE2-H40_OE1 mean,H175_HE2-H40_OE1 75-percentile,H175_HE2-H40_OE1 95-percentile,H175_HE2-H40_OE1 max,H175_HE2-H40_OE1 standard deviation,Selected labels
10,0.048411497730711045,2.2357802626025296,-4000.27,-3995.098,-3983.715,-3971.5065624999997,-3963.885,-3939.5454999999997,-3923.96,17.29201163279144,-23.3117,-16.52834,-8.1660175,-5.453667190625,-0.760463025,4.337997999999999,6.17548,6.653149130157837,0.181917,0.1941665,0.24548425000000001,0.29285378125,0.33502725,0.3727957,0.414369,0.05860576232266669,4.49903,5.009742,6.245744999999999,6.5807184375,7.0350525,7.3708395,7.47017,0.7159141860416536,5.31007,6.247626,7.358095,8.360455625,9.3256475,9.8131415,11.6275,1.3206425181467958,1.94044,4.2931095,4.586837500000001,4.7359721875,4.72563,6.094110499999998,7.42427,0.8492271761090138,3.20373,3.4382375,3.54128,4.3957153125,3.71403,11.25548,12.2815,2.3603568368747028,1.44604,1.4668665,1.501085,2.456638125,1.585745,9.474702,10.7994,2.522844935087467,D
17,0.025718608169440244,2.528170818672503,-3997.29,-3993.042,-3972.8,-3968.7876470588235,-3961.16,-3945.072,-3929.04,16.511174657828413,-11.5207,-8.5275,-5.99107,-2.973916176470588,-0.807885,5.798029999999999,7.13171,4.720180332621131,0.227299,0.240151,0.389757,0.4289724117647059,0.480211,0.5524794,0.564241,0.08821574690433263,4.18854,4.913196,5.17507,5.768373529411765,6.35735,6.738648,7.00652,0.7029320758997414,6.2883,6.99306,7.72894,8.667976470588235,9.25173,12.13876,12.3062,1.5729438358132302,2.2751,2.287252,2.88518,4.369700000000001,4.67376,6.919649999999999,7.90017,1.5739727213721113,3.54697,3.583018,3.6206,7.091911176470588,12.8664,13.04076,13.2098,4.026347678755791,1.53045,1.5357699999999999,4.79071,6.533500588235294,11.4357,11.5952,11.8456,3.7568038711281138,-
4,0.059001512859304085,2.1647160639793563,-3995.73,-3994.824,-3982.2349999999997,-3967.771025641025,-3959.115,-3930.882,-3914.28,19.7250873443676,-14.3382,-11.53805,-5.4137249999999995,-4.006711205128204,-1.257745,2.710599000000001,5.23954,4.361331579168873,0.377427,0.3943288,0.4373275,0.4939502307692308,0.5297465,0.6061027,0.657037,0.06645736186861835,5.7296,5.849814,6.347935,6.648025897435899,6.90127,7.478097,7.60097,0.47547566557872123,5.30984,5.637081,6.59515,7.446333076923077,8.233,9.614438,10.1217,1.2558591796040115,2.5085,2.815577,4.38472,5.16128282051282,6.02971,7.936281,7.94562,1.5363912591356588,1.78837,2.7210140000000003,3.5295449999999997,6.236723076923078,8.337215,13.162980000000001,13.5738,3.5585706740078216,1.36429,1.427423,1.537925,5.149151794871796,7.79607,11.764090000000001,11.9436,3.6372930450795353,-
18,0.012102874432677761,2.124316931191827,-3985.22,-3984.604,-3981.63,-3975.63375,-3973.69,-3956.8975,-3949.39,10.827642792293265,-9.42763,-8.865383,-7.1251125,-1.4377775000000004,2.8658825,3.1610099999999997,3.31879,5.1837127448329685,0.425002,0.45216375000000003,0.53021975,0.581131625,0.66667275,0.6898163,0.692911,0.0882471519978655,5.52128,5.690365,6.142485,6.358415,6.77974,6.964241,6.99999,0.46475455180665,5.75236,5.9970065,6.7177875,7.1299625,7.5452625,8.4446955,8.7243,0.8507198747788545,2.86879,2.888474,3.7594725,5.0638024999999995,6.465,6.4855985,6.49669,1.5185220201543834,6.32994,6.3658255,6.46262,8.9468925,12.338875,12.556415,12.666,2.7952629474691193,6.35706,6.4673799999999995,6.67226,8.473522499999998,11.0706,11.25497,11.3347,2.1288645415382237,-
27,0.0045385779122541605,1.3694581916282413,-3983.72,-3983.654,-3983.39,-3981.7066666666665,-3980.7,-3978.8120000000004,-3978.34,2.3957926083493906,-3.23882,-3.038653,-2.237985,-1.7966873333333335,-1.075621,-0.9463978000000001,-0.914092,1.0282352483880115,0.596625,0.5991685,0.6093424999999999,0.650154,0.6769185,0.7208053,0.731777,0.05864281941266697,6.4531,6.457143,6.4733149999999995,6.763719999999999,6.919029999999999,7.25943,7.34453,0.41102622649493625,5.09243,5.103764,5.149100000000001,5.467056666666667,5.65437,6.01325,6.10297,0.45203304785773735,6.40812,6.417089000000001,6.452965000000001,6.742853333333334,6.910220000000001,7.2401480000000005,7.32263,0.4115959276064599,3.55184,3.8179049999999997,4.882165,5.399263333333334,6.322975,6.411363,6.43346,1.3094366892251372,1.58757,2.086094,4.08019,4.939706666666666,6.615774999999999,6.650147,6.65874,2.370578152439236,-
11,0.03479576399394856,1.668574418250786,-3969.81,-3969.73,-3965.56,-3959.743913043478,-3955.62,-3946.36,-3944.31,7.171691171077293,-15.7516,-11.83502,-8.98572,-6.050955521739129,-2.9886,-1.0247463000000012,1.93835,4.071379770241489,0.315717,0.3785234,0.405559,0.45282408695652165,0.48511499999999996,0.5845737,0.654382,0.07119277420278051,4.26713,4.414574,4.81326,5.323673043478261,5.81437,6.170129,6.37697,0.5935844227303547,4.35557,5.087015,5.67671,6.156295217391305,6.738035,7.1209109999999995,7.38712,0.7213316352164815,2.999,3.0115119999999997,3.04277,3.603571739130436,3.398315,6.0573749999999995,6.07223,1.0087286580713204,5.08749,5.129652,5.55303,6.683016521739131,7.506985,7.875272,7.93418,1.0545408989805394,3.83156,3.905278,4.507565,5.690462608695651,6.561204999999999,7.121320999999999,7.20812,1.1825154919261605,-
9,0.07564296520423601,2.4841523634760163,-3997.44,-3990.535,-3971.1974999999998,-3967.06,-3960.42,-3953.0125,-3937.39,11.263490045274589,-11.0972,-7.859153499999999,-2.269835,-1.3797475599999995,0.45957925,2.121037999999999,12.9921,3.6111484539284517,0.429202,0.4943232,0.56153,0.61800848,0.6725147499999999,0.741424,0.762897,0.07884417352049293,2.1718,2.6584685,3.3845475,4.1404068,4.835882499999999,5.657533999999999,5.86349,0.9247005308410717,4.03744,4.6902375,5.7790799999999996,6.4336082,7.08543,7.822678,8.90303,1.0531583034353191,2.04185,3.079854,5.08974,5.3015454,5.8772725,6.3461735,7.65914,1.1276937191688352,3.29177,3.516791,5.6318525,7.2408052,7.743595,12.606254999999999,13.1057,2.6194094498037073,1.52983,1.808439,5.3626475000000005,6.1936488,7.1777524999999995,11.146505,11.4009,2.7380574325186386,-
26,0.012102874432677761,1.77847390721091,-3993.46,-3988.1505,-3972.77,-3971.1275,-3965.69,-3960.5805,-3958.54,9.9995509274167,-4.64302,-4.477473499999999,-3.159585,-1.1849937499999998,1.5584475,2.756687999999999,3.23889,2.7815030400259206,0.417981,0.4401724,0.5096112500000001,0.543730125,0.5895225,0.62904755,0.63976,0.0678740519684023,3.26859,3.3233230000000002,3.5616125,3.9201400000000004,4.1726425,4.6371995,4.71309,0.4684134179333466,5.81614,5.8953204999999995,6.5577024999999995,7.485684999999999,8.61046,9.504639999999998,9.78751,1.346136324225745,4.68176,4.8718555,5.5050825,6.07192375,6.728384999999999,7.2054149999999995,7.35903,0.8425693262862335,1.44483,2.8896895000000002,5.757065,6.332485,8.0274375,8.636523500000001,8.64268,2.1838376430723967,3.55124,4.4530815,6.219670000000001,6.70547625,7.81297,8.140531000000001,8.20603,1.4042125387110875,-
15,0.030257186081694403,2.239123937689336,-3975.86,-3974.6155000000003,-3966.8625,-3963.3755000000006,-3959.0275,-3956.2395,-3956.04,5.487660225451305,-8.62523,-5.103256999999999,-3.124255,-1.40372495,0.7313877499999999,2.439569000000001,3.66999,2.8653143649116144,0.380031,0.40138985,0.54787775,0.5905330500000001,0.67106375,0.6961863500000001,0.721121,0.09179019252974416,5.50678,5.5148265,6.1417075,6.491656000000001,6.8585575,7.3023465,7.35016,0.5384179902956437,3.62618,3.8469885,4.54489,5.066252000000001,5.622615,6.5705195000000005,7.14032,0.8568774162480886,2.35168,2.4881759999999997,3.0920625,4.541242,5.875900000000001,6.4590955,6.62906,1.5233327537823114,3.81343,3.8784669999999997,5.61909,7.243556,7.4538925,12.311065,12.7113,2.4459307504698486,1.78872,1.8499855,4.59152,6.10419,6.8456399999999995,11.04261,11.2252,2.51943186406777,-
21,0.0045385779122541605,1.4918411601254877,-3959.84,-3959.639,-3958.835,-3956.6299999999997,-3955.0249999999996,-3952.781,-3952.22,3.22449996123443,-8.11052,-7.636939999999999,-5.74262,-4.2259899999999995,-2.283725,-1.4109290000000003,-1.19273,2.887611479025528,0.431868,0.43491019999999997,0.447079,0.507848,0.545838,0.6126764,0.629386,0.08683312963763698,6.35036,6.3831310000000006,6.514215,6.734016666666666,6.925845,7.124065,7.17362,0.3384147150399276,3.64835,3.735347,4.083335,4.505513333333334,4.934095,5.2667150000000005,5.34987,0.6947016556927312,2.39579,2.4702759999999997,2.76822,2.92379,3.1877899999999997,3.2255019999999996,3.23493,0.3753311245642528,12.0011,12.040489999999998,12.198049999999999,12.270233333333332,12.4048,12.41264,12.4146,0.1904741510605109,10.425,10.49769,10.788450000000001,10.913499999999999,11.15775,11.16243,11.1636,0.3454546858851386,-
7,0.049924357034795766,2.044611481867055,-3979.88,-3972.884,-3967.4,-3963.476666666666,-3960.1,-3954.5080000000003,-3944.59,6.626343507759617,-11.6796,-8.927996,-4.63203,-2.9667809090909087,-0.818669,2.6354599999999975,6.94702,3.673033645556708,0.334209,0.447327,0.534278,0.5621877878787879,0.61099,0.667559,0.71258,0.07416395009165457,3.97608,4.197164000000001,4.74689,5.189304242424242,5.52142,6.349557999999999,6.53408,0.6202952775653549,3.68572,3.885392,4.47453,5.308002727272727,6.08063,6.5572159999999995,7.31611,0.9515569900870211,2.47821,2.556,3.12317,4.483071515151515,5.8394,6.13199,6.43876,1.3946279963099995,6.82025,6.99862,7.1506,8.965563636363637,11.7901,13.08816,13.2101,2.5396721218833793,5.57111,5.88166,6.33114,7.857188787878787,10.3316,11.3658,11.4636,2.2055838732288136,-
16,0.02118003025718608,2.2644134469146695,-3993.76,-3993.1490000000003,-3984.7075,-3973.752857142857,-3964.7825,-3953.9365000000003,-3952.11,13.053689915428667,-8.6248,-8.178185000000001,-6.5961725,0.24482685714285685,3.6604675,11.642344999999999,13.3159,6.9374016238121365,0.334536,0.33913540000000003,0.42882375,0.46104428571428574,0.49626200000000004,0.55229865,0.559903,0.06735230789600583,3.87507,4.0431405,4.6275175,5.214644285714286,5.705394999999999,6.6319855,7.03533,0.8785130694345683,8.06277,8.0681975,8.7115225,9.48902142857143,9.8222875,11.492574999999999,12.165,1.1147450440658557,1.82577,2.3928884999999998,3.5790975,4.341205714285715,4.7871875,6.079044,6.3327,1.2338379303950875,3.50298,3.5065485,3.5643149999999997,6.028287142857143,7.074045,10.986194999999999,10.9912,2.4744752582385408,1.48411,1.487958,1.5384325,4.564355714285715,5.5142525,9.464468,9.46842,2.710727468321042,-
19,0.007564296520423601,1.6304540031851562,-3980.25,-3979.854,-3978.27,-3977.136,-3975.55,-3974.31,-3974.0,2.170599917073596,-14.5388,-13.109372,-7.39166,-8.100746,-6.51002,-5.61126,-5.38657,3.282574197203165,0.426784,0.4325942,0.455835,0.5030052,0.569627,0.5714318,0.571883,0.058930337132583936,6.89096,6.90099,6.94111,7.198788,7.31098,7.558068,7.61984,0.26535587330225047,6.95886,6.994406,7.13659,7.941965999999999,8.21393,9.06433,9.27693,0.8371598487887484,2.13902,2.156586,2.22685,2.3122000000000003,2.38017,2.44565,2.46202,0.11489267670308666,12.5986,12.60238,12.6175,12.704139999999999,12.6996,12.921759999999999,12.9773,0.14080145737882108,11.1496,11.17914,11.2973,11.33244,11.4012,11.47672,11.4956,0.11507278739997565,-
25,0.009077155824508321,1.8826075363345787,-3985.7,-3985.6724999999997,-3985.2625000000003,-3982.605,-3983.3725,-3975.7725,-3973.25,4.283677353240638,-3.56525,-3.179435,-1.48492675,0.206839,1.7587927499999998,3.6753625000000003,4.15282,2.547200305601688,0.501418,0.52266975,0.598329,0.6452393333333334,0.717517,0.7311875,0.732712,0.08222551141356448,4.50059,4.50563,4.61806,5.049423333333333,5.4306175,5.647305,5.68874,0.4553353240439647,8.0056,8.178245,8.71764,8.865935,9.2323725,9.2582625,9.26406,0.4456003557654925,4.24187,4.676089999999999,6.153235,6.321871666666667,6.85819,7.2027025,7.31754,1.0113246758981786,3.50687,3.51117,3.52407,5.398375000000001,5.9576,10.3385825,11.5305,2.98649701127006,1.51597,1.530345,1.5743125,3.81057,5.138185,9.302575000000001,10.295,3.3818290020243973,-
13,0.02723146747352496,1.9844028678629881,-3975.18,-3972.562,-3968.31,-3965.7805555555556,-3962.26,-3958.143,-3957.65,4.528999732860069,-11.4992,-9.9924815,-6.07674,-2.4174373333333334,1.26224475,2.7827299999999973,4.43938,4.411455446551361,0.502155,0.5147299,0.54184525,0.6122658333333334,0.6776694999999999,0.7088523,0.714991,0.07161670924461538,5.81156,6.0610435,6.3197375000000005,6.5260894444444455,6.675165,7.078753,7.14082,0.3420849100162157,3.47534,4.0731874999999995,4.5274175,5.150868888888888,5.48459,6.8969785,6.99897,0.9085664789099175,2.04185,2.360753,2.9352899999999997,4.307822222222223,5.6021225,5.855112,6.07346,1.455134731205921,3.90168,3.973981,6.05889,8.18445611111111,11.253715,13.060849999999999,13.1229,3.043163490697247,1.92318,1.967414,4.4969175,6.77888,9.946299999999999,11.36741,11.5743,3.105892673108114,-
22,0.0045385779122541605,1.344040616586731,-3986.55,-3985.9900000000002,-3983.75,-3981.813333333333,-3979.4449999999997,-3978.241,-3977.94,3.5676353824659213,-2.27765,-2.1496955,-1.6378775,0.008291666666666586,1.1512625,2.8707564999999997,3.30063,2.385920874296873,0.402224,0.4050647,0.4164275,0.4278246666666667,0.440625,0.44862019999999997,0.450619,0.019856579704358827,4.93086,4.962443,5.088775,5.225303333333333,5.3725249999999996,5.473193,5.49836,0.2321739357081716,11.6857,11.70815,11.79795,11.963633333333334,12.102599999999999,12.25652,12.295,0.2515988385417457,4.6305,4.631339,4.634695,4.65218,4.6630199999999995,4.6823239999999995,4.68715,0.02496362286741792,3.56892,3.5696209999999997,3.572425,3.5828399999999996,3.5898000000000003,3.600896,3.60367,0.015004481552745157,1.49363,1.494379,1.497375,1.50215,1.50641,1.510642,1.5117,0.007412912158299655,-
23,0.0030257186081694403,1.8826150497801395,-3995.75,-3994.7525,-3990.7625,-3985.775,-3980.7875000000004,-3976.7975,-3975.8,9.974999999999909,-2.48415,-2.39571415,-2.04197075,-1.5997915,-1.1576122500000001,-0.8038688500000001,-0.715433,0.8843585,0.521871,0.5274899,0.5499655,0.57806,0.6061544999999999,0.6286301,0.634249,0.05618899999999999,4.06051,4.082829,4.172105,4.2837,4.395295,4.484571,4.50689,0.22319000000000022,10.0526,10.06302,10.1047,10.1568,10.2089,10.25058,10.261,0.10419999999999963,1.95197,2.088542,2.63483,3.3176900000000002,4.0005500000000005,4.546838,4.68341,1.36572,3.53458,4.000196,5.86266,8.19074,10.51882,12.381283999999999,12.8469,4.65616,1.54769,2.0410955,4.014717500000001,6.481745,8.9487725,10.922394500000001,11.4158,4.934055,-
